Time (s),Sensor 1 (m),Sensor 2 (m),Sensor 3 (m),Sensor 4 (m),Sensor 5 (m)
328,0.047083593,0.047054228,0.048305924,0.259295489,0.054529438
329,0.045375886,0.043029499,0.0477553,0.258892831,0.052037211
330,0.046232813,0.044783693,0.047348562,0.259766101,0.051934708
331,0.045452193,0.041101286,0.047689804,0.25837729,0.051643761
332,0.045966632,0.041355762,0.04743185,0.258553343,0.048959969
333,0.044360498,0.044059366,0.046530093,0.258645097,0.049321516
334,0.04291283,0.044325951,0.046770386,0.25867666,0.049209742
335,0.045102965,0.043403267,0.045919234,0.258860989,0.051045909
336,0.043455128,0.04352085,0.04676777,0.258592156,0.048981431
337,0.044278317,0.043933821,0.04733211,0.258982643,0.050167923
338,0.045038406,0.043672527,0.045661523,0.259004236,0.050222737
339,0.044281241,0.041442589,0.046976314,0.258682444,0.049211519
340,0.042480257,0.041551807,0.046807127,0.258368367,0.050076204
341,0.045126447,0.04409348,0.047083701,0.258919118,0.050611259
342,0.044601126,0.04411738,0.04659979,0.259053434,0.051346598
343,0.045188062,0.043949371,0.046661353,0.258804942,0.049761487
344,0.046360486,0.045869484,0.04802245,0.259147057,0.050938752
345,0.045024016,0.046499381,0.047101122,0.25958093,0.050979737
346,0.044328205,0.044324835,0.048854271,0.258771713,0.049860831
347,0.045098279,0.041872993,0.04735837,0.259021456,0.052134993
348,0.045390559,0.044878522,0.048329291,0.258948176,0.050183715
349,0.045091804,0.045744344,0.046925253,0.25898036,0.05024988
350,0.045173392,0.044366555,0.047735155,0.258894205,0.050082587
351,0.045593056,0.042231398,0.048405657,0.259087272,0.050510136
352,0.044956249,0.045794394,0.046746776,0.258918708,0.050936795
353,0.045346825,0.044997596,0.047820321,0.258793107,0.049881061
354,0.045551961,0.04721086,0.046064793,0.259595865,0.052060668
355,0.046292689,0.046486881,0.047229746,0.258884447,0.051492971
356,0.044422122,0.044116266,0.047413007,0.258638877,0.049454571
357,0.045038406,0.044381711,0.047379599,0.259475475,0.051714731
358,0.04426218,0.044029778,0.0462848,0.258747438,0.05016596
359,0.045305471,0.043589097,0.046704303,0.259002154,0.048938315
360,0.045656734,0.045640045,0.046397678,0.260092444,0.051305613
361,0.046237801,0.042932623,0.046864886,0.258656098,0.049836174
362,0.044369291,0.041749743,0.047501294,0.25845203,0.048615441
363,0.04719009,0.045339688,0.046951521,0.259852673,0.04942831
364,0.04636193,0.041025392,0.048045352,0.258597352,0.047581171
365,0.046350773,0.044734777,0.046717892,0.259023746,0.050882165
366,0.044797757,0.042087277,0.046732932,0.257781496,0.049534409
367,0.04544366,0.04342488,0.048009312,0.258980353,0.0503455
368,0.045850413,0.045030976,0.047878072,0.259105946,0.050415751
369,0.046156499,0.045443584,0.046040936,0.258655481,0.049523762
370,0.044781915,0.045222877,0.04646591,0.258754287,0.049867398
371,0.045375889,0.045637009,0.047064616,0.259450562,0.050685771
372,0.044404509,0.04506434,0.047794783,0.258398065,0.050093235
373,0.044504291,0.043404039,0.047542096,0.259071692,0.049287815
374,0.043993665,0.043020232,0.047262668,0.258929502,0.050646744
375,0.044433256,0.046474381,0.046972499,0.259268084,0.051567123
376,0.044911054,0.045202022,0.046276919,0.259274919,0.049498567
377,0.046461698,0.043702873,0.04822669,0.259022923,0.05039305
378,0.045375892,0.046578667,0.047497466,0.258877605,0.051307577
379,0.046455857,0.043221241,0.047090866,0.258798709,0.051732468
380,0.045046629,0.045881996,0.047069631,0.259848106,0.050718239
381,0.043808782,0.044798884,0.048696776,0.25877172,0.050714156
382,0.044323522,0.042628095,0.047048636,0.258875321,0.049348304
383,0.044730255,0.044275887,0.047253365,0.259183587,0.050802147
384,0.045630914,0.041918912,0.046988253,0.258624134,0.050380625
385,0.042667189,0.047135038,0.046601694,0.259552285,0.051145252
386,0.045356518,0.043791959,0.048203551,0.25881596,0.049609808
387,0.044897525,0.043471542,0.046346369,0.259072749,0.051083162
388,0.044907817,0.048359967,0.048095938,0.259133344,0.050532845
389,0.044648092,0.044412056,0.047362899,0.258894211,0.049765034
390,0.044433266,0.043612597,0.04751322,0.258934683,0.05122951
391,0.044691535,0.044129893,0.047392478,0.258491684,0.049065345
392,0.046033268,0.043350183,0.047176767,0.258898362,0.050770931
393,0.04513524,0.045204681,0.046553972,0.258923276,0.050613027
394,0.045237061,0.043950505,0.046941007,0.259089964,0.05085093
395,0.044398659,0.047605283,0.04526541,0.259979918,0.05178391
